# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
98.700000000 -4.085374421 1.043106244 -0.000279844 0.000071452
98.722207065 -0.733722667 2.683008832 -0.000050259 0.000183783
98.744414130 5.532908187 5.075305628 0.000378998 0.000347653
98.766621195 2.749655002 1.623301968 0.000188348 0.000111194
98.788828260 -1.122912583 0.799748667 -0.000076918 0.000054782
98.811035325 -3.360840810 5.619908006 -0.000230214 0.000384958
98.833242390 -1.809784227 0.892458790 -0.000123968 0.000061132
98.855449455 0.587921305 4.768745051 0.000040272 0.000326654
98.877656520 3.273258208 2.363137619 0.000224215 0.000161872
98.899863585 3.822664161 2.912956520 0.000261848 0.000199534
98.922070650 3.199377001 4.016465806 0.000219154 0.000275124
98.944277715 1.185380980 1.659481510 0.000081197 0.000113673
98.966484780 -1.425604192 1.098126462 -0.000097652 0.000075221
98.988691845 -2.500909428 1.947000140 -0.000171310 0.000133367
99.010898910 -1.157944000 5.801639484 -0.000079318 0.000397406
99.033105975 -0.630464356 4.384840493 -0.000043186 0.000300357
99.055313040 -0.748728891 3.065514070 -0.000051287 0.000209985
99.077520105 -1.643975338 2.385103943 -0.000112611 0.000163377
99.099727170 -0.035931664 3.011523400 -0.000002461 0.000206286
99.121934235 1.159864537 2.677533828 0.000079450 0.000183408
99.144141300 1.607847717 0.608327360 0.000110136 0.000041670
99.166348365 0.988202178 2.699252595 0.000067691 0.000184896
99.188555430 0.732588361 1.550059250 0.000050182 0.000106177
99.210762495 0.956261481 3.422741036 0.000065503 0.000234454
99.232969560 1.835079603 3.978875271 0.000125701 0.000272549
99.255176625 2.295178521 2.467909894 0.000157217 0.000169049
99.277383690 2.295248435 3.505407763 0.000157222 0.000240117
99.299590756 2.295267698 2.201882022 0.000157223 0.000150827
99.321797821 2.863432340 1.836345187 0.000196142 0.000125788
99.344004886 3.890905465 3.155344714 0.000266523 0.000216138
99.366211951 0.085822553 4.304585973 0.000005879 0.000294860
99.388419016 -2.771078856 2.823736738 -0.000189816 0.000193423
99.410626081 -4.533045552 1.884427033 -0.000310509 0.000129081
99.432833146 -0.280395234 3.871763575 -0.000019207 0.000265212
99.455040211 2.862302974 6.094371823 0.000196065 0.000417458
99.477247276 4.808234321 5.303213138 0.000329359 0.000363265
99.499454341 2.346514870 6.910191897 0.000160734 0.000473341
99.521661406 -0.884665997 4.994362977 -0.000060599 0.000342109
99.543868471 -4.071215762 2.296702705 -0.000278874 0.000157322
99.566075536 -0.489298216 3.628972429 -0.000033516 0.000248581
99.588282601 1.095067886 3.095164216 0.000075011 0.000212016
99.610489666 1.176904836 1.363671918 0.000080617 0.000093410
99.632696731 0.057955363 2.871976012 0.000003970 0.000196727
99.654903796 0.318686429 2.397134266 0.000021830 0.000164201
99.677110861 1.181125662 3.639809234 0.000080906 0.000249323
99.699317926 0.285819333 4.568559610 0.000019578 0.000312942
99.721524991 -0.180991609 3.488876846 -0.000012398 0.000238984
99.743732056 -0.137144049 2.593492071 -0.000009394 0.000177651
99.765939121 1.429633146 3.709016303 0.000097928 0.000254064
99.788146186 2.257615862 3.312593922 0.000154644 0.000226909
99.810353251 2.321343805 2.321744667 0.000159010 0.000159037
99.832560316 0.530795759 4.666342748 0.000036359 0.000319640
99.854767381 1.794963278 0.755166796 0.000122953 0.000051728
99.876974446 3.571838870 5.198132332 0.000244667 0.000356067
99.899181511 1.557585452 3.519671442 0.000106693 0.000241094
99.921388576 1.750359974 2.795566483 0.000119898 0.000191493
99.943595641 1.857008602 3.867853477 0.000127203 0.000264944
99.965802706 -1.724485376 1.030697901 -0.000118125 0.000070602
99.988009771 -0.915979065 0.918623806 -0.000062744 0.000062925
100.010216836 0.802229005 2.432961345 0.000054952 0.000166655
100.032423901 0.130925284 1.718201174 0.000008968 0.000117695
100.054630966 0.129469521 3.777268932 0.000008869 0.000258739
100.076838031 -0.460634955 4.114942233 -0.000031553 0.000281869
100.099045096 -3.370071181 3.617530042 -0.000230846 0.000247797
100.121252161 -0.759525844 1.667838653 -0.000052027 0.000114245
100.143459226 1.664279483 1.624898293 0.000114001 0.000111304
100.165666291 -0.574247288 2.631144801 -0.000039335 0.000180231
100.187873356 1.269451282 1.454539819 0.000086956 0.000099634
100.210080421 3.431408160 2.172066445 0.000235048 0.000148784
100.232287486 3.879040499 0.464165419 0.000265710 0.000031795
100.254494551 2.502154248 0.384933781 0.000171395 0.000026368
100.276701616 0.271932662 1.026157423 0.000018627 0.000070291
100.298908681 -2.862010043 2.980503962 -0.000196045 0.000204161
100.321115746 -0.746607848 0.625364187 -0.000051142 0.000042837
100.343322811 1.450696347 2.509264952 0.000099371 0.000171882
100.365529876 1.899167676 1.374030916 0.000130091 0.000094120
100.387736941 -0.155504943 1.402347441 -0.000010652 0.000096059
100.409944006 -0.956801581 0.697016817 -0.000065540 0.000047745
100.432151071 1.057932144 4.171844686 0.000072467 0.000285767
100.454358137 1.690238509 3.288311205 0.000115780 0.000225246
100.476565202 0.376331507 4.618574834 0.000025778 0.000316368
100.498772267 -3.654488348 2.999364565 -0.000250329 0.000205453
100.520979332 -1.607489447 1.096952196 -0.000110111 0.000075140
100.543186397 0.427119024 0.985417850 0.000029257 0.000067500
100.565393462 1.547073912 4.032054142 0.000105973 0.000276191
100.587600527 1.420953272 2.426875561 0.000097334 0.000166238
100.609807592 0.411880569 1.525113840 0.000028213 0.000104469
100.632014657 -1.602643235 0.594072324 -0.000109779 0.000040693
100.654221722 0.633971318 2.076011803 0.000043426 0.000142205
100.676428787 1.136368719 2.505557641 0.000077840 0.000171628
100.698635852 -0.654567959 3.516267985 -0.000044837 0.000240861
100.720842917 1.036899303 3.510918087 0.000071027 0.000240494
100.743049982 2.178453730 2.487774326 0.000149222 0.000170410
100.765257047 2.625103738 2.843154827 0.000179817 0.000194753
100.787464112 -1.158563593 0.283297171 -0.000079360 0.000019406
100.809671177 -1.677747610 1.675607995 -0.000114924 0.000114777
100.831878242 0.953842755 3.805890273 0.000065337 0.000260699
100.854085307 0.506177219 2.786723248 0.000034673 0.000190888
100.876292372 0.176799568 3.959614237 0.000012111 0.000271229
100.898499437 -0.002032181 6.463338787 -0.000000139 0.000442732
100.920706502 0.893855510 0.562502723 0.000061228 0.000038531
100.942913567 1.418800919 1.463247780 0.000097186 0.000100231
100.965120632 1.684975455 2.226169723 0.000115419 0.000152490
100.987327697 2.580590253 2.686302462 0.000176768 0.000184009
101.009534762 3.605050702 2.531832712 0.000246942 0.000173428
101.031741827 4.475022935 2.161804285 0.000306534 0.000148081
101.053948892 2.683390391 1.486926703 0.000183809 0.000101853
101.076155957 1.159712262 1.153418799 0.000079439 0.000079008
101.098363022 0.327305981 3.588650379 0.000022420 0.000245819
101.120570087 3.685807384 1.873225969 0.000252474 0.000128314
101.142777152 3.434853718 1.459560142 0.000235284 0.000099978
101.164984217 1.118499131 2.679594743 0.000076616 0.000183549
101.187191282 -0.225183888 2.201234739 -0.000015425 0.000150782
101.209398347 -1.136634527 2.339608635 -0.000077858 0.000160261
101.231605412 -1.393606013 6.722674565 -0.000095461 0.000460496
101.253812477 0.621784323 5.413512283 0.000042592 0.000370820
101.276019542 1.444329712 2.154807121 0.000098935 0.000147602
