# X Averaged_Y Std_Dev_Y Normalized_Averaged_Y Normalized_Std_Dev_Y
193.413368484 13.526064432 5.480659366 0.000981035 0.000397508
248.357304946 1385.094809319 179.855778836 0.100459861 0.013044801
305.307682040 10.895538957 4.685610018 0.000790245 0.000339844
308.940966429 12.915677887 1.888178695 0.000936764 0.000136948
309.038577054 10.977665916 2.159819902 0.000796202 0.000156650
309.233798305 10.954392676 2.039338437 0.000794514 0.000147912
309.862844557 11.106941881 4.386337441 0.000805578 0.000318138
310.307515184 12.971046868 2.378966767 0.000940780 0.000172545
310.437662684 11.837749908 3.983912927 0.000858583 0.000288950
310.838950811 11.631360613 3.964183720 0.000843614 0.000287519
311.055863312 10.408183104 5.274542738 0.000754898 0.000382559
312.324801442 10.703263171 4.435903984 0.000776299 0.000321733
312.379029567 11.773203855 0.900246587 0.000853901 0.000065294
312.574250818 11.702796611 3.972056414 0.000848795 0.000288090
312.834545819 11.508554267 4.233830075 0.000834707 0.000307076
313.365981446 12.891847000 5.692757329 0.000935036 0.000412891
313.387672696 11.086957659 6.400624641 0.000804129 0.000464232
313.420209571 13.270396707 2.695736077 0.000962492 0.000195520
313.973336448 11.157055597 4.190082774 0.000809213 0.000303903
314.450543950 10.531017284 3.435497076 0.000763807 0.000249174
314.960288327 58.397491778 25.498099090 0.004235525 0.001849358
315.014516452 45.861341308 21.663793910 0.003326288 0.001571258
315.188046453 10.595254566 2.954202052 0.000768466 0.000214266
315.838783955 12.787391106 5.110293931 0.000927460 0.000370646
316.044850831 10.390060746 3.941367642 0.000753583 0.000285864
316.153307081 11.634800931 1.870032443 0.000843863 0.000135632
316.229226457 13.410224035 6.882414880 0.000972633 0.000499176
316.348528332 14.113259694 5.473124296 0.001023624 0.000396961
316.402756457 12.151831982 8.378735232 0.000881363 0.000607703
316.424447707 13.697703280 2.207487820 0.000993484 0.000160107
316.489521458 10.658093692 8.326157824 0.000773023 0.000603890
316.522058333 15.420954655 2.477364752 0.001118470 0.000179681
316.630514583 15.846911436 5.276402037 0.001149364 0.000382693
316.673897083 11.503322165 1.696062651 0.000834327 0.000123014
316.706433958 10.745998169 5.259619474 0.000779399 0.000381476
316.738970834 12.567702344 4.431594880 0.000911526 0.000321420
